original,semantic,context
"{'id': 'SP-10', 'question': 'There were eight girls going to school. They were sharing 1 umbrella. How come all the girls did not get wet?', 'answer': 'Because it was not raining.', 'label': 2, 'choices': ['The eight girls could have been sharing the umbrella at different times or taking turns using it. ', 'The umbrella that the girls were sharing was exceptionally large or had a wide canopy. ', 'Because it was not raining.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-10_SR', 'question': 'Eight girls attended the school. They were using the same umbrella. Why did none of the females get wet?', 'answer': 'Because it was not raining.', 'label': 2, 'choices': ['The umbrella that the girls were sharing was exceptionally large or had a wide canopy. ', 'The eight girls could have been sharing the umbrella at different times or taking turns using it. ', 'Because it was not raining.', 'None of above.'], 'choice_order': [1, 2, 0, 3]}","{'id': 'SP-10_CR', 'question': 'Eight people were sitting under a large tree. Suddenly, a gust of wind blows, yet none of them got hit by any falling leaves. How is this possible?', 'answer': ""It was winter and the tree doesn't have any leaves."", 'label': 2, 'choices': ['Trees could have had a unique characteristic that made it resistant to losing leaves in windy conditions. ', 'The gust of wind is that the wind blew in a direction away from the tree rather than towards it.', ""It was winter and the tree doesn't have any leaves."", 'None of above.'], 'choice_order': [1, 2, 0, 3]}"
"{'id': 'SP-11', 'question': 'A black dog stands in the middle of an intersection in a town painted black. None of the street lights are working due to a power failure caused by a storm. A car with two broken headlights drives towards the dog but turns in time to avoid hitting him. How could the driver have seen the dog in time?', 'answer': 'it was during the daylight hours.', 'label': 2, 'choices': ['The driver could have relied on their sense of hearing to detect the presence of the dog. ', ""The broken headlights can emit a small amount of light, even if it's dim. "", 'it was during the daylight hours.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-11_SR', 'question': 'A town that has been painted black has a black dog standing in the midst of an intersection. Due to a storm-related power outage, none of the street lights are functioning. When a car with two broken headlights approaches the dog, it turns away in time to miss him. How was the dog able to be seen by the driver in time?', 'answer': 'it was during the daylight hours.', 'label': 0, 'choices': ['it was during the daylight hours.', 'The driver could have relied on their sense of hearing to detect the presence of the dog. ', ""The broken headlights can emit a small amount of light, even if it's dim. "", 'None of above.'], 'choice_order': [0, 2, 1, 3]}","{'id': 'SP-11_CR', 'question': ""Within Joshua Tree National Park, a couple is driving. Because there is no light in the area to improve the view,\xa0\xa0Joshua Tree National area is well known for its starry sky. The couple is traveling here for the first time, and the roads are rough. Their vehicle's headlights are damaged. How did they manage to prevent being crushed?"", 'answer': 'it was during the daylight hours.', 'label': 1, 'choices': ['The moonlight can provide additional visibility.', 'it was during the daylight hours.', 'Their eyes have the ability to adapt to low-light conditions over time. ', 'None of above.'], 'choice_order': [1, 0, 2, 3]}"
"{'id': 'SP-12', 'question': 'On a fine sunny day a ship was in the harbor. All of a sudden the ship began to sink. There was no storm and nothing wrong with the ship yet it sank right in front of the spectators eyes. What caused the ship to sink?', 'answer': 'It was a Submarine.', 'label': 2, 'choices': ['It was simply a characteristic or function of the toy ship, designed to create excitement and engagement for the spectators.', 'An underwater earthquake caused a rapid drop in the water level and resulted in the loss of buoyancy for the ship.', 'It was a Submarine.', 'None of above.'], 'choice_order': [1, 2, 0, 3]}","{'id': 'SP-12_SR', 'question': "" ship was in the harbor on a beautiful sunny day. The ship suddenly started to sink. The ship sank in front of the onlookers despite their being no storm or mechanical issue. What led to the ship's sinking?"", 'answer': 'It was a Submarine.', 'label': 2, 'choices': ['An underwater earthquake caused a rapid drop in the water level and resulted in the loss of buoyancy for the ship.', 'It was simply a characteristic or function of the toy ship, designed to create excitement and engagement for the spectators.', 'It was a Submarine.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-12_CR', 'question': 'The ship was in the central Pacific Ocean. The ship suddenly began to sink without being crushed. However, each team was still preoccupied with its own tasks, so none was threatening. Why?', 'answer': 'It was a Submarine.', 'label': 1, 'choices': ['An underwater earthquake caused a rapid drop in the water level and resulted in the loss of buoyancy for the ship.', 'It was a Submarine.', 'It was simply a characteristic or function of the toy ship, designed to create excitement and engagement for the spectators.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}"
"{'id': 'SP-13', 'question': 'A man who lived on the top floor of a twenty story building had to go up and down daily for work, and of course, for food and the other necessities. On most days he could only ride the elevator to the fifteenth story, and he would have to walk the rest of the way. When it rained, however, he could ride all the way up to the twentieth story. Why?', 'answer': ""The man wasn't tall enough to reach the button for the 20th floor. He could only reach the 15th story button on the elevator. When it rained, he brought his umbrella, and used it to press the 20th story button on the elevator."", 'label': 0, 'choices': [""The man wasn't tall enough to reach the button for the 20th floor. He could only reach the 15th story button on the elevator. When it rained, he brought his umbrella, and used it to press the 20th story button on the elevator."", 'The building had a system in place where, during rainy conditions, certain residents were granted exclusive access to the higher floors. ', 'During rainy weather, the elevator was programmed to automatically bypass certain floors above the fifteenth story. ', 'None of above.'], 'choice_order': [0, 1, 2, 3]}","{'id': 'SP-13_SR', 'question': ""A man who resided on the twenty-story building's top floor had to travel up and down each day for work, as well as for food and other requirements. He could only use the elevator up to the fifteenth story most days, after which he had to continue walking. However, he could ride all the way to the twentieth storey when it poured. Why?"", 'answer': ""The man wasn't tall enough to reach the button for the 20th floor. He could only reach the 15th story button on the elevator. When it rained, he brought his umbrella, and used it to press the 20th story button on the elevator."", 'label': 0, 'choices': [""The man wasn't tall enough to reach the button for the 20th floor. He could only reach the 15th story button on the elevator. When it rained, he brought his umbrella, and used it to press the 20th story button on the elevator."", 'During rainy weather, the elevator was programmed to automatically bypass certain floors above the fifteenth story. ', 'The building had a system in place where, during rainy conditions, certain residents were granted exclusive access to the higher floors. ', 'None of above.'], 'choice_order': [0, 2, 1, 3]}","{'id': 'SP-13_CR', 'question': 'A man uses the elevator since he is too old to use his crutch to ascend to the 12th floor. He is asked to hit the 17th button by a woman who is taller than him because she is unable to do it herself. Why? ', 'answer': 'The old man can reach the button with the help of his crutch.', 'label': 0, 'choices': ['The old man can reach the button with the help of his crutch.', 'The old man was granted exclusive access to the higher floors. ', 'The woman think pressing the 17th button in the elevator brings good luck or wards off bad luck', 'None of above.'], 'choice_order': [0, 1, 2, 3]}"
"{'id': 'SP-14', 'question': ""Sally has three classes, Math, English Language Arts, and History. She had a test in every class, and wanted to have some fun, so she did all of her tests in French. When she received her tests back, only one teacher could understand her work. If none of Sally's teachers spoke French, which teacher was able to understand the test and how did they understand it?"", 'answer': 'The math teacher, because numbers are the same in French as they are in English.', 'label': 1, 'choices': ['English teacher, as she have experiences in using translator.', 'The math teacher, because numbers are the same in French as they are in English.', 'The history teacher, as he may have a good friend from France.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-14_SR', 'question': ""Math, English language arts, and history are Sally's four subjects. Each time she got an exam, she took it in French because she wanted to have fun. Only one teacher could understand her work when she received the results of her tests. Which teacher was able to grasp the test and how did they understand it since none of Sally's teachers could speak French?"", 'answer': 'The math teacher, because numbers are the same in French as they are in English.', 'label': 0, 'choices': ['The math teacher, because numbers are the same in French as they are in English.', 'English teacher, as she have experiences in using translator.', 'The history teacher, as he may have a good friend from France.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}","{'id': 'SP-14_CR', 'question': 'Tom teaches in a Chinese school. One day, he handed homework to the children after printing it accidentally in English. Despite not having learned English yet, every student completed their assignments flawlessly the following day. Why?', 'answer': 'Tom is a math teacher, numbers are the same in French as they are in English.', 'label': 1, 'choices': ['The student are smart enough to rely on their prior konwledge to guess the homework answers.', 'Tom is a math teacher, numbers are the same in French as they are in English.', 'They used translation tools or sought assistance from external sources.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}"
"{'id': 'SP-15', 'question': ""Even if they are starving, natives living in the Arctic will never eat a penguin's egg. Why not?"", 'answer': 'Penguins only live in Antarctica.', 'label': 1, 'choices': ['Penguins and their eggs are not part of their traditional or cultural diet.', 'Penguins only live in Antarctica.', ""Penguins' eggs are toxic."", 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-15_SR', 'question': ""Natives of the Arctic will never eat a penguin's egg, not even if they are starving. Exactly why not?"", 'answer': 'Penguins only live in Antarctica.', 'label': 1, 'choices': [""Penguins' eggs are toxic."", 'Penguins only live in Antarctica.', 'Penguins and their eggs are not part of their traditional or cultural diet.', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-15_CR', 'question': 'Even in the harshest of droughts, a man living in New York City would never drink from the Mississippi River. Why not?', 'answer': ""The Mississippi River doesn't flow through New York City."", 'label': 2, 'choices': ['Mississippi river water are toxic.', 'Water from Mississippi river are not part of his traditional or cultural diet.', ""The Mississippi River doesn't flow through New York City."", 'None of above.'], 'choice_order': [1, 2, 0, 3]}"
"{'id': 'SP-16', 'question': 'Three men are walking across a green and fuscous field. Only two of them are wearing rubber boots and yet the feet of the third man remain dry. Why?', 'answer': 'The ground is not wet.', 'label': 2, 'choices': ['By walking on stilts, the third man elevates his feet above the wet ground.', 'The third man is walking on his hands.', 'The ground is not wet.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-16_SR', 'question': ""Crossing a lush and muddy meadow are three men. The third man's feet are still dry despite the fact that only two of them are wearing rubber boots. Why?"", 'answer': 'The ground is not wet.', 'label': 1, 'choices': ['The third man is walking on his hands.', 'The ground is not wet.', 'By walking on stilts, the third man elevates his feet above the wet ground.', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-16_CR', 'question': 'A group of students plan to go trekking in the afternoon, but one of them forgets to bring their rubber boots. But how is it possible that his feet are still dry after a lengthy stroll around the park?', 'answer': 'The ground is not wet.', 'label': 2, 'choices': ['By walking on stilts, the one elevates his feet above the wet ground.', 'The one is walking on his hands.', 'The ground is not wet.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}"
"{'id': 'SP-17', 'question': ""There once was an evil wizard. He took 3 woman from their homes and turned them into rose bushes that looked exactly alike. He put them in his garden. One of the woman had a husband and children and begged the wizard to let her see them. He agreed. At night, he brought the woman to her house. In the morning he came and took her home. One day the husband decided to go rescue her. So he stuck into the wizard's garden. He looked and looked at the 3 identical rose bushes trying to figure out which could be his wife. Suddenly, he knew the answer and he took his wife home. How did he know which rose bush was his wife?"", 'answer': 'The wizard brought the rosebush to her home at night and returned her to the garden in the morning. Therefore, she was the only plant without dew.', 'label': 0, 'choices': ['The wizard brought the rosebush to her home at night and returned her to the garden in the morning. Therefore, she was the only plant without dew.', 'The husband knew which rose bush was his wife because it was the only one that leaned towards him as he approached', 'The husband knew which rose bush was his wife because it was the only one that still had her distinctive scent.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}","{'id': 'SP-17_SR', 'question': ""There was once a bad wizard. He abducted three women from their homes and transformed them into identical rose plants. They were placed in his garden. One of the women pleaded with the magician to allow her to see her husband and kids. He concurred. He took the woman to her home at night. He arrived early in the morning and drove her home. The spouse made the decision to go get her one day. He entered the wizard's garden as a result. He kept glancing at the three identical rose bushes, trying to determine which one might be his wife. He took his wife home as soon as he realized the solution. How did he recognize his wife among the rosebushes?"", 'answer': 'The wizard brought the rosebush to her home at night and returned her to the garden in the morning. Therefore, she was the only plant without dew.', 'label': 1, 'choices': ['The husband knew which rose bush was his wife because it was the only one that still had her distinctive scent.', 'The wizard brought the rosebush to her home at night and returned her to the garden in the morning. Therefore, she was the only plant without dew.', 'The husband knew which rose bush was his wife because it was the only one that leaned towards him as he approached', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-17_CR', 'question': 'Several harvested radishes were once stolen from a neighbor by a slothful farmer. The radishes was missing, so his neighbor reported it to the police. The farmer told the authorities that the radishes came from his own farm this morning. Even he do plant raddishes in his own farm, he was nonetheless detained by the police anyway. How?', 'answer': 'There are no dew on the raddishes, so they were not harvested from his own farm on the morning.', 'label': 0, 'choices': ['There are no dew on the raddishes, so they were not harvested from his own farm on the morning.', ""Radishes don't grow during the current season."", ""The farmer's farm did not have suitable conditions for growing radishes."", 'None of above.'], 'choice_order': [0, 1, 2, 3]}"
"{'id': 'SP-18', 'question': 'There are 3 apples for 2 sons and 2 fathers to eat. Each of them get their own apple. How is it numerically possible?', 'answer': 'They are one son, one father and one grandfather.', 'label': 2, 'choices': ['Two sons shared the same apple.', 'One father gave his apple to his son.', 'They are one son, one father and one grandfather.', 'None of above.'], 'choice_order': [1, 2, 0, 3]}","{'id': 'SP-18_SR', 'question': 'There are 3 apples available for 2 fathers and 2 boys to consume. They each receive a single apple. How is it a mathematical possibility?', 'answer': 'They are one son, one father and one grandfather.', 'label': 0, 'choices': ['They are one son, one father and one grandfather.', 'One father gave his apple to his son.', 'Two sons shared the same apple.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}","{'id': 'SP-18_CR', 'question': 'Two mothers and two daughters were asking for new state IDs, but the agent only gave out three forms and instructed them on how to fill them out. Why?', 'answer': 'They are one daughters, one mother and one grandmother.', 'label': 1, 'choices': ['One mother is too old to apply for new IDs.', 'They are one daughters, one mother and one grandmother.', 'Two girls filled the from together.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}"
"{'id': 'SP-19', 'question': 'Two mothers and two daughters go shopping. They have $21, which they split equally between them. How can this be possible?', 'answer': 'They are one daughters, one mother and one grandmother.', 'label': 1, 'choices': ['Two daughters share the $7.', 'They are one daughters, one mother and one grandmother.', 'One mother give his $7 to his son.', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-19_SR', 'question': 'Shopping is done by two mothers and two daughters. They divide the $21 they have equally amongst themselves. How is this even conceivable?', 'answer': 'They are one daughters, one mother and one grandmother.', 'label': 2, 'choices': ['One mother give his $7 to his son.', 'Two daughters share the $7.', 'They are one daughters, one mother and one grandmother.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-19_CR', 'question': 'Shopping is done by Jack, Tom and their parents. They divided the $40 they have equally amongst themselves. How is that possible?', 'answer': 'Jack and Tom are brothers share the same parents.', 'label': 0, 'choices': ['Jack and Tom are brothers share the same parents.', 'Jack and Tom are the parents themselves.', ""Each kid's parents pooled $10 for divisioni."", 'None of above.'], 'choice_order': [0, 1, 2, 3]}"
