question,0,1,2,3,gpt,gpt-raw
how many times can you deduct 10 from 100?,Once.,Infinite time.,Twice.,None of above.,0,"Option 1: ""Once."""
"The teacher asked the two girls who looked exactly like the following questions: a.) Are you from the same family? b.) Do you have the same parents? c.) Were you born on the same day? They answered truthful ""yes"" to those questions, and yet told the truth when they indicated they were not twins. How can this be?
","They were triplets.
",Their parent raised them differently due to the lack of money.,One of the gril was not loved by their family.,None of above.,0,"Option 1: ""They were triplets."""
"Romeo and Juliet are found dead on the floor in a bedroom. When they were discovered, there were pieces of glass and some water on the floor. The only furniture in the room is a shelf and a bed. The house is in a remote location, away from everything except for the nearby railroad track. What caused the death of Romeo and Juliet?",They were sleeping and scared by the sound of track.,The rumble of the train moved the shelf which crushed them.,"Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive.",None of above.,2,"Option 3: ""Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive."""
"If the vise coach of a sports team is unable to attend a game, who is supposed to lead the team?",The coach.,The captain.,The team's management,None of above.,0,"Option 1: ""The coach."""
"A cop was walking past a restaurant when he heard someone scream - ""No John, not the gun!"" He ran inside and and saw a doctor, a lawyer, a mail man, and a dead body on the floor. He promptly walked over to the mail man and arrested him. He didn't witness the shooting and there was no apparent evidence to prove who shot the person and no one told him who the killer was. How did the policeman instantly know it was the mail man?",The dead man was the relative of both doctor and lawyer.,The policeman thought a doctor or a lawyer wouldn't have the name John.,The mail man was the only male. The doctor and lawyer were females.,None of above.,1,"Option 2: ""The policeman thought a doctor or a lawyer wouldn't have the name John."""
Why do old people consume more food than young people.,Older adults may have specific dietary requirements to address age-related issues,Older people require increased nutrient intake to support overall health and well-being.,Because older people live longer.,None of above.,2,"Option 3: ""Because older people live longer."""
A sudden wave knocked Jack out of the water when he was swimming on the beach; he died five minutes later. How is that possible?,Jack needs to to go to the hospital but no one is welling to help.,Jack is so scared of the water.,Jack is a fish in the ocean.,None of above.,2,"Option 3: ""Jack is a fish in the ocean."""
"A large dog and a slim dog are sitting on a porch. The small dog is the fat dog's kid, but the fat dog is not the thin dog's father. Could you please explain?",The fat dog was the father when it is thin.,The fat dog is not a responsible father as he eats all the food.,The fat dog is the mother.,None of above.,2,"Option 3: ""The fat dog is the mother."""
"There was a farmer who had a problem with his chicken coop, and he wanted to go check it out. When he got there he noticed that there was a rooster on top of the barn. Now the barn was shaped with a triangle-type top. But suddenly the rooster laid an egg. Which side did it roll on?",It is possible the egg would roll down the middle of the triangle-shaped top of the barn.," There is a hole in the roof. Furthermore, the egg dropped into the hole.",It didn't because rosters don't lay eggs.,None of above.,2,"Option 3: ""It didn't because rosters don't lay eggs."""
"Five people were at a football match, and a sudden shower started. The four that rushed to take cover still got soaked, but the one who didn't move stayed completely dry. Why didn't he get wet?",The man is an excellent football player that can avoid rain in high speed.,"
The man was lucky enough to avoid all the rain.",He was a photograph the other people were there to honor a former player.,None of above.,2,"Option 3: ""He was a photograph the other people were there to honor a former player."""
"Two mothers and two daughters go shopping. They have $21, which they split equally between them. How can this be possible?",One mother give his $7 to his son.,Two daughters share the $7.,"They are one daughters, one mother and one grandmother.",None of above.,2,"Option 3: ""They are one daughters, one mother and one grandmother."""
"In a certain city, 5% of all the persons in town have unlisted phone numbers. If you select 100 names at random from that city's phone directory, how many people selected will have unlisted phone numbers?",One hundred people.,Five people.,Ninty-five people.,None of above.,1,"Option 2: ""Five people."""
"There were five guys in church, and it began to rain while they were outside. The four that fled got wet, while the one that remained dry kept entirely dry. Why didn't he drink?","He was in a coffin the other men were at his funeral.
","
The man was lucky enough to avoid all the rain.",The man is an athlete that can avoid rain in high speed.,None of above.,0,"Option 1: ""He was in a coffin the other men were at his funeral."""
"Shopping is done by Jack, Tom and their parents. They divided the $40 they have equally amongst themselves. How is that possible?",Jack and Tom are the parents themselves.,Each kid's parents pooled $10 for division.,Jack and Tom are brothers who share the same parents.,None of above.,2,"Option 3: ""Jack and Tom are brothers who share the same parents."""
Why do white sheep consume more food than black sheep?,Because there are less black sheep in the world than white.,Black sheep do not need food. ,"Black absorbs more heat from sunlight, black sheep may eat less to avoid overheating or to regulate their body temperature.",None of above.,2,"Option 3: ""Black absorbs more heat from sunlight, black sheep may eat less to avoid overheating or to regulate their body temperature."""
A woman spotted a bear in the distance on a Sunday afternoon. She ran in excitement toward it as opposed to being afraid. Why didn't she feel fear?,She tried to scare the bear.,"She was at the zoo.
",She become brave in sudden.,None of above.,1,"Option 2: ""She was at the zoo."""
"Tom and John made a $100 wager that John could correctly predict the outcome of the upcoming football game. Tom concurs, but he loses the wager. What led Tom to lose the wager?",John possesses an extraordinary ability to see into the future.,"John said the score would be 0-0 and he was right. ""Before"" any football game starts, the score is always 0-0.",Tom gave his money to show his kindness.,None of above.,1,"Option 2: ""John said the score would be 0-0 and he was right. 'Before' any football game starts, the score is always 0-0."""
"Tom and John bet $100 on John correctly predicting the outcome of the forthcoming basketball game. Tom agrees, but he loses the bet. What caused Tom to lose the bet?","John said the score would be 0-0 and he was right. ""Before"" any basketball game starts, the score is always 0-0.",John possesses an extraordinary ability to see into the future.,Tom gave his money to show his kindness.,None of above.,0,"Option 1: ""John said the score would be 0-0 and he was right. ""Before"" any basketball game starts, the score is always 0-0."""
"If an essential assistant captain of a sports team were resigned, who would lead the team?",The captain.,The first officer.,The second officer.,None of above.,0,"Option 1: ""The captain."""
"How many times can you subtract 10 from 100? 
",Infinite time.,Twice.,Once.,None of above.,1,"Option 2: ""Twice."""
A farmer has 11 sheep. Half of them are white. How is this possible?,One sheep is regarded as both white and other colors same time.,A famer raises his sheep in both white way and another way.,They are all white.,None of above.,2,"Option 3: ""They are all white."""
"The officer arrested James and said I don't have a brother anymore, however, James also didn't have a brother. How's that possible?",The officer was not loved by family and had moved away when he was young.,The officer is angry about his brother and cut ties with him.,Officer was actually his sister so the whole story makes sense,None of above.,2,"Option 3: ""Officer was actually his sister so the whole story makes sense"""
A man has nine kids. Males make up half of them. How is that even possible?,One child is regarded as both boy and girl same time.,A man raises his children in both boy way and girl way.,They are all boys.,None of above.,2,"Option 3: ""They are all boys"""
"The coach asked the two boys who looked remarkably similar the following questions: a.) Do you live in the same house? b.) Do you have the same mother and father? c.) Were you both born on the same date? The boys responded truthfully with ""yes"" to these inquiries, yet were honest when they said they weren't twins. How could this be?","They were triplets.
",Their parent raised them differently due to the lack of money.,One of the boys was not loved by their family.,None of above.,0,"Option 1: ""They were triplets."""
Three men are walking across a green and fuscous field. Only two of them are wearing rubber boots and yet the feet of the third man remain dry. Why?,The ground is not wet.,"By walking on stilts, the third man elevates his feet above the wet ground.",The third man is walking on his hands.,None of above.,1,"Option 2: ""By walking on stilts, the third man elevates his feet above the wet ground."""
John bet Tom $100 that he can predict the score of the football game before it starts. Tom agrees but loses the bet. Why did Tom lose the bet?,"John said the score would be 0-0 and he was right. ""Before"" any football game starts, the score is always 0-0.",John possesses an extraordinary ability to see into the future.,Tom gave his money to show his kindness.,None of above.,0,"Option 1: ""John said the score would be 0-0 and he was right. ""Before"" any football game starts, the score is always 0-0."""
"When a cop was going through a restaurant, he heard someone yell, ""No John, not the gun!"" He dashed inside, where he discovered a doctor, a lawyer, a priest, and a dead corpse on the floor. He quickly approached the man and arrested him. He was not present when the shooting occurred, there was no obvious evidence to indicate who shot the guy, and no one notified him who the killer was. How did the cop recognize the milan so quickly?","The mail man was the only male. The doctor and lawyer were females, so the cop knew that ""John"" was the mail man.",The policeman think a doctor or a lawyer won't have name John.,The dead man was the relative of both doctor and lawyer.,None of above.,0,"Option 1: ""The mail man was the only male. The doctor and lawyer were females, so the cop knew that ""John"" was the mail man."""
"A driver is told to make a stop every half an hour for the engine to cool down, for five times. How long do the stops take ?",Three hours.,Two and a half hours.,Two hours.,None of above.,3,"Option 4: ""None of the above options are correct"""
"Two fishes in a tank were swimming in the opposite directions, but they were seeing each other every couple of few minutes. How's that possible?",Water in the tank can reflect each other in some degree.,The fish tank was like a ring.,Fish had an unusual vision so they can see what happend behind them.,None of above.,1,"Option 2: ""The fish tank was like a ring."""
Why do black sheep eat less than white sheep?,Black sheep do not need food. ,"Black absorbs more heat from sunlight, black sheep may eat less to avoid overheating or to regulate their body temperature.",Because there are less black sheep in the world than white.,None of above.,1,"Option 2: ""Black absorbs more heat from sunlight, black sheep may eat less to avoid overheating or to regulate their body temperature."""
"The teacher questioned the two girls who had the same appearance: Are you related to each other? b.) Do your parents look alike? c.) Did you share the same birthday? They genuinely replied ""yes"" to those inquiries, and they were honest when they said they weren't identical twins. How is this possible?","They were triplets.
",One of the gril was not loved by their family.,Their parent raised them differently due to the lack of money.,None of above.,3,"Option 4: ""None of the above options are correct"""
Crossing a lush and muddy meadow are three men. The third man's feet are still dry despite the fact that only two of them are wearing rubber boots. Why?,The ground is not wet.,"By walking on stilts, the third man elevates his feet above the wet ground.",The third man is walking on his hands.,None of above.,1,"Option 2: ""By walking on stilts, the third man elevates his feet above the wet ground."""
"Two dogs are sitting on a porch - a fat dog and a thin dog. The little dog is the son of the fat dog, but the fat dog is not the father of the thin dog. Can you explain?",The fat dog was the father when it is thin.,The fat dog is the mother.,The fat dog is not a responsible father as he eats all the food.,None of above.,1,"Option 2: ""The fat dog is the mother."""
"Two entries were stationed outside of a barracks. One was looking up the road for anyone arriving from the north. The other checked the road to see if anyone was approaching from the south. ""Why are you smiling?"" one of them asked the other. How did he find out his partner was smiling?",The smiling guard's action is such big that even the guard behind him can see it.,"Although the guards were looking in opposite directions, they were not back to back. They were facing each other.",One of the guards had an unusual vision so he can see what happend behind him.,None of above.,1,"Option 2: ""Although the guards were looking in opposite directions, they were not back to back. They were facing each other."""
In what year did Christmas Day and New Year's Day fall in the same year?,In the first year of each century.,It happens every year.,In the period of BC.,None of above.,1,"Option 2: ""It happens every year."""
"When you put a white shirt on a stone that is red and wet, it will become red, if you do the same thing for yelllowstone, what will happen ?",White.,Red.,Yellow.,None of above.,3,"Option 4: ""None of the above options are correct"""
"If a Lion is tied to a piece of metal that is 6m long, how can it reach a human that is 7m away?",The dog dug a 1m tunnel underground to reach the bone that was 7m away while still tied to the 6m long rope.,The other end is not tied to anything.,"The rope stretches proportionally, providing the extra length needed for the horse to reach the hay seven meters away.",None of above.,1,"Option 2: ""The other end is not tied to anything."""
"You stroll into a room, find a bed, and lie down on it. There are two dogs, five cats, a giraffe, six cows, and a goose on the bed. Three doves are also fluttering above the bed. How many legs are there on the ground?","Thirty-six, as there are eighteen animals.","Six. The bed's four legs, plus your two legs.","Seventy-two, as there are eighteen animals.",None of above.,1,"Option 2: ""Six. The bed's four legs, plus your two legs."""
"A woman who appears to be about to jump off the balcony of her 20-story apartment building is being caught in a net by a fireman who is running to reach her. There is a 20-story fall below her and nothing else. When she falls, the fireman is still 100 yards away and is not nearly in time. The damage to the woman is not worse than a cruise. How is that even doable?",The woman is strong enough to not get hurt from falling.,"She fell back into her apartment, jumping from the balcony into the inside.",The fireman is so well exercised that he reaches the woman 100 yards away in a second.,None of above.,1,"Option 2: ""She fell back into her apartment, jumping from the balcony into the inside."""
Who can shave three times a day and maintain a beard?,A superstar.,A barber.,A woman.,None of above.,1,"Option 2: ""A barber."""
How can you drop a raw egg onto a concrete floor and not crack it?,You need to drop the egg gently.,"
You need to drop the egg hard.","No problem, because concrete floors are very hard to crack
",None of above.,2,"Option 3: ""No problem, because concrete floors are very hard to crack"""
"Jessica is telling her friends this story and asks them to guess if it's the truth or a lie: ""There was a man sitting in a house at night that had no lights on at all. There was no lamp, no candle, and no other source of light. Yet, he sat in the house and read his book happily."" Her friends say she's lying, but Jessica corrects them and says she's telling the truth. Jessica's story is true—but how?",Because it was daytime.,The man is smart that she pretended to reading the book.,"The man is blind and is reading braille.
",None of above.,2,"Option 3: ""The man is blind and is reading braille."""
"You are on an island in the middle of a lake. The lake is in a remote part of the country and there has never been a bridge connecting the island to the mainland. Every day a tractor and wagon gives hay rides around the island. Puzzle as to how the tractor had gotten onto the island, you ask around and find out that the tractor was not transported to the island by boat or by air. Nor was it built on the island. Explain how the tractor got there?",The pieces of the tractor will fall within hail to the island.,"It was driven over in winter, when the lake was frozen.","The pieces of tractor is floating over the lake, you collect them and combine them. ",None of above.,1,"Option 2: ""It was driven over in winter, when the lake was frozen."""
"Sally has three classes, Math, English Language Arts, and History. She had a test in every class, and wanted to have some fun, so she did all of her tests in French. When she received her tests back, only one teacher could understand her work. If none of Sally's teachers spoke French, which teacher was able to understand the test and how did they understand it?","The history teacher, as he may have a good friend from France.","English teacher, as she have experiences in using translator.","The math teacher, because numbers are the same in French as they are in English.",None of above.,2,"Option 3: ""The math teacher, because numbers are the same in French as they are in English."""
"On Friday, the man rode out of town to pick some berries. 2 hours later, he rode back on Sunday. How is that possible?",His horse was called Sunday.,The man was too exhausted that he forgot his way home.,Next week is a national holiday.,None of above.,0,"Option 1: ""His horse was called Sunday."""
How can you toss a fragile glass ball against a sturdy brick wall from a distance without shattering it?,"No problem, because sturdy bricks are very hard to crack",You need to throw the glass ball hard.,You need to throw the glass ball gently.,None of above.,2,"Option 3: ""You need to throw the glass ball gently."""
"Lisa is William's niece, but she isn't Emily's niece—even though Emily is William's sister and William isn't married. How is that possible?","Lisa is Emily's daughter.
",Emily is adopted.,Emily and William share same father but not mother.,None of above.,2,"Option 3: ""Emily and William share the same father but not mother."""
"In a house, there are three major rooms. The first is stuffed with cash. The second is stuffed with crucial documents. The third is stuffed with jewels. One day, all of these rooms caught fire. Which room did the cops initially put out the fire?",The one with with jewelry.,The one with important papers.,The one filled with money.,None of above.,3,"Option 4: ""None of the above options are correct"""
"Math, English language arts, and history are Sally's three subjects. Once she got an exam, she took it in French because she wanted to have fun. Only one teacher could understand her work when she received the results of her tests. Which teacher was able to grasp the test and how did they understand it since none of Sally's teachers could speak French?","The history teacher, as he may have a good friend from France.","English teacher, as she have experiences in using translator.","The math teacher, because numbers are the same in French as they are in English.",None of above.,2,"Option 3: ""The math teacher, because numbers are the same in French as they are in English."""
"A man jumped off a 50-story building, but he didn't get hurt at all. How is this possible?",He get medical attention.,"He jumped off the ground floor, not from the top of the building.",The building is not so tall for the man.,None of above.,1,"Option 2: ""He jumped off the ground floor, not from the top of the building."""
"A boy fell off of a 100 foot ladder, but he did not get hurt. How is this possible?",The ladder is not so tall for the boys.,He get medical attention.,He was only on the first step.,None of above.,2,"Option 3: ""He was only on the first step."""
"You're visiting a village in Vietnam that you see a lot of small boats grounded, but you're wondering how they're always using their boats and now you see no water around them. How's that possible?",The tide makes the boats to float again and the issues get resolved at that time.,People in village use the boat to store water because water is rare.,People in village use the boat to store fruits because it is cheap.,None of above.,1,"Option 2: ""People in the village use the boat to store water because water is rare."""
"He has authored countless books, but has never written a single word. Who is he?",A business man.,A publisher.,A writer.,None of above.,1,"Option 2: ""A publisher."""
"In order for her friends to determine if the following story is true or false, Jessica tells them: ""There was a man sitting in a house at night that had no lights at all. There was no candle, lamp, or other light source present. He nonetheless gladly read his book while sitting in the home. Jessica responds to her friends' accusations of lying by insisting that she is speaking the truth. Jessica's account is accurate, but how?",The man is smart that she pretended to reading the book.,"The man is blind and is reading braille.
",Because it was daytime.,None of above.,2,"Option 3: ""Because it was daytime."""
"If a boat is parked in a marina and tied to a nearby station, how did its owner found the boat a couple of hours later in the middle of the ocean?",The station wasn't fixed in the marina,The dolphins untied the knots.,"The waves were powerful, which pushed the boat and the marina together.",None of above.,0,"Option 1: ""The station wasn't fixed in the marina"""
How can you throw a raw egg against a hard rock wall and not break it?,You need to drop the egg gently.,"No problem, because concrete floors are very hard to crack
","
You need to drop the egg hard.",None of above.,3,"Option 4: ""None of the above options are correct"""
"You're out on the water and see a boat filled with people. You look away for a second and look back again, but this time you don't see a single person on the boat. Why?",All the people on the boat jump into the sea in a moment.,The boat is soo big that all the people can hide themselves in a moment.,"All the people on the boat are in relationships.
",None of above.,2,"Option 3: ""All the people on the boat are in relationships."""
"If you paint a brown home white, it will turn white. The light is green if the spotlight switches from red to green. So, what happens if you throw a white shirt into the Red Sea?",Green.,White.,Red.,None of above.,1,"Option 2: ""White."""
An office worker usually walks to work daily. There are two coffee shops on his route; the first one is half a mile away from his house and the second one is a mile away in the opposite direction. He always stops at the first coffee shop in the morning and always visits the second one in the evening on his way back home. Why?,"The coffee shops and his home are on a slope, which allows him to walk downhill easily both to work and back home.",The second coffee shop is too far away.,The first coffee shop is too far away.,None of above.,0,"Option 1: ""The coffee shops and his home are on a slope, which allows him to walk downhill easily both to work and back home."""
"You wanted to reserve a table in a restaurant but they told you all their tables were already booked. however, when you're passing by, you see that there is not a single person eating in the restaurant. Why did they tell you that all their tables were fully booked?",All the people left the restaurant in a moment.,The resturant was soo big that all the people can hide themselves in a moment.,All the people in the restaurant are in relationships.,None of above.,2,"Option 3: ""All the people in the restaurant are in relationships."""
"A young man fell off a 100-foot ladder, but he was unharmed. How is that even possible?",He get medical attention.,He was only on the first step.,The ladder is not so tall for the boys.,None of above.,1,"Option 2: ""He was only on the first step."""
"Mary's father has five children. They are Nana, None, Nine, and Non.
What is the fifth child name?",Nelson.,Nick.,Mary.,None of above.,2,"Option 3: ""Mary."""
There are three important rooms in a house. The first one is filled with money. The second one is filled with important papers. The third one is filled with jewelry. One day all of these rooms burst into fire. Which room did the policemen put out the fire in first?,The one with with jewelry.,The one with important papers.,The one filled with money.,None of above.,3,"Option 4: ""None of the above options are correct"""
"In a 5-day marathon, a professional runner seven 70 kilometers. Each day, he ran two kilometers more than the previous day. How many kilometers did the runner run on the first day?",Five.,Six.,Seven.,None of above.,1,"Option 2: ""Six."""
"You've found yourself on an island in the midst of a lake. The lake is in a remote area of the country, and no bridge has ever connected the island to the mainland. A tractor and wagon provide daily hay rides around the island. You inquire as to how the tractor arrived onto the island and discover that it was not carried to the island by boat or plane. It was also not constructed on the island. How did the tractor get there?",The pieces of the tractor will fall within hail to the island.,"The pieces of tractor is floating over the lake, you collect them and combine them. ","It was driven over in winter, when the lake was frozen.",None of above.,2,"Option 3: ""It was driven over in winter, when the lake was frozen."""
"During a 5-day competition, a professional fisherman caught 30 fish. He caught three more fish each day than the day before. On the first day, how many fish did the fisherman catch?",Two.,One.,Three.,None of above.,2,"Option 3: ""Three."""
"Tony and Jack are brothers and Tony is not married. However, Tony's nephew is not Jack's nephew. How is that possible?",Tony's nephew is Jack's son.,Jack is adopted.,Jack and Tony share same father but not mother.,None of above.,2,"Option 3: ""Jack and Tony share the same father but not mother."""
There are ten birds sitting on a fence. You shoot one. How many are left?,Ten.,One.,Nine.,None of above.,3,"Option 4: ""None of the above options are correct"""
A man goes to a restaurant everyday but he does't pay at all. How's that possible?,He works there in the restaurant.,He is a superstar.,He always finish the dish without any waste.,None of above.,0,"Option 1: ""He works there in the restaurant."""
Mrs. Jones has four daughters. Each of her daughters has one brother. But Mrs. Jones only has five children. How is that possible?,Some daughters get married and have their own family.,Some brothers were not loved by family and moved away.,Each daughter shares the same brother.,None of above.,2,"Option 3: ""Each daughter shares the same brother."""
You enter a room with five of the organization' heads. All of them are there to make an important decision. How many heads are there in the room?,Ten.,Five.,One.,None of above.,2,"Option 3: ""One."""
"A man left town on Sunday, spent the entire night in a motel, and then rode back the next day, again on Sunday. How is that even possible?",Next week is a national holiday.,His horse was called Sunday.,The hotel room was so expensive that the man came back directly.,None of above.,1,"Option 2: ""His horse was called Sunday."""
A student leans forward while riding his scooter to the train station to go to college. Two stops are not far from his home; the first is one mile away and the second is two miles away in the opposite direction. He always boards at the first stop in the morning and always exits at the second stop in the afternoon. Why?,The first train station is too far away.,The second train station is too far away.,"The stations and his home are on a hill, which allows him to ride down easily on his scooter.",None of above.,2,"Option 3: ""The stations and his home are on a hill, which allows him to ride down easily on his scooter."""
A chess team have five players and each player has one coach. But there are only six participants in the team. How is that possible?,Each player shares the same coach.,Some players are backups and not allowed to play.,Some coach get a raise.,None of above.,0,"Option 1: ""Each player shares the same coach."""
"Even though Emily is William's sister and William isn't married, Lisa is William's niece but not Emily's. How is that even doable?",Emily is adopted.,Emily and William share same father but not mother.,Lisa is Emily's daughter.,None of above.,2,"Option 3: ""Lisa is Emily's daughter."""
A student leans forward while riding his scooter to the train station to go to college. Two stops are not far from his home; the first is one mile away and the second is two miles away in the opposite direction. He always boards at the first stop in the morning and always exits at the second stop in the afternoon. Why?,The first train station is too far away.,"The stations and his home are on a hill, which allows him to ride down easily on his scooter.",The second train station is too far away.,None of above.,1,"Option 2: ""The stations and his home are on a hill, which allows him to ride down easily on his scooter."""
"there was a burglary going on when firemen got to the scene first since they were not sure if there is a fire going on as well. Four people were coming out of the place, two covering their face. Who did the firemen arrest?",The two covered their face.,All of them.,The two with no masks.,None of above.,2,"Option 3: ""The two with no masks"""
"If a dog is tied to a piece of rope that is 6m long, how can it reach a bone that is 7m away?",The other end is not tied to anything.,"The rope stretches proportionally, providing the extra length needed for the horse to reach the hay seven meters away.",The dog dug a 1m tunnel underground to reach the bone that was 7m away while still tied to the 6m long rope.,None of above.,0,"Option 1: ""The other end is not tied to anything."""
